,Distance_km,Order_Quantity,Expected_Delivery_Time_hr,Actual_Delivery_Time_hr,Fuel_Cost_INR,Transportation_Cost_INR,Delay_Time_hr,Vehicle_Capacity,Vehicle_Utilization_pct
Distance_km,1.0,-0.005008729354006221,0.984445692791544,0.7749942523015575,0.7464348340487649,0.7257254531898383,0.04000802933625104,0.01647529625620294,0.010902660420809568
Order_Quantity,-0.005008729354006221,1.0,-0.012942450195627685,0.008985690026902377,0.010269227000715742,0.2022102452920611,0.03011678878074753,-0.02808167618395758,0.48321639645246145
Expected_Delivery_Time_hr,0.984445692791544,-0.012942450195627685,1.0,0.7802473377578841,0.7004283991248933,0.6788979221790232,0.02946643864097569,0.026480362608245538,0.03269866448617084
Actual_Delivery_Time_hr,0.7749942523015575,0.008985690026902377,0.7802473377578841,1.0,0.5972694226609019,0.5859925492042941,0.6481906081181311,0.10311807534900749,-0.033588769601623325
Fuel_Cost_INR,0.7464348340487649,0.010269227000715742,0.7004283991248933,0.5972694226609019,1.0,0.9792017231017438,0.10176196233000884,0.5443530661929262,-0.4540415820892537
Transportation_Cost_INR,0.7257254531898383,0.2022102452920611,0.6788979221790232,0.5859925492042941,0.9792017231017438,1.0,0.10995260543952319,0.5282936473165973,-0.35181177495433424
Delay_Time_hr,0.04000802933625104,0.03011678878074753,0.02946643864097569,0.6481906081181311,0.10176196233000884,0.10995260543952319,1.0,0.13255461692903517,-0.09348713708765592
Vehicle_Capacity,0.01647529625620294,-0.02808167618395758,0.026480362608245538,0.10311807534900749,0.5443530661929262,0.5282936473165973,0.13255461692903517,1.0,-0.7374705644332653
Vehicle_Utilization_pct,0.010902660420809568,0.48321639645246145,0.03269866448617084,-0.033588769601623325,-0.4540415820892537,-0.35181177495433424,-0.09348713708765592,-0.7374705644332653,1.0
